PartitionKey,RowKey,Category,Category_type,CategoryDescription,CategoryDescription_type,DefaultTeam,DefaultTeam_type,Organization,Organization_type,Service,Service_type,Type,Type_type
2017db8e-d8c8-4e94-8bde-30bf3121774b,898e6660-40fd-4d3a-b2b8-691fd55702ec,Hardware for ContosoInc,String,,,ContosoInc-Support - End User,String,ContosoInc,String,Automated - Onboarding,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,899e56c1-19b5-4ecb-9cbb-64e216d42033,Issues with Informatica/Integration,String,Issues with Informatica/Integration,String,Integration,String,ContosoInc,String,Informatica/Integration,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,89bbf0cc-7ef0-4e20-92ed-a3f40e905777,Network Decom,String,Used for requesting removal of network VIPs,String,Network,String,ContosoInc,String,Decom,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,89c331d6-9b78-4ae8-a831-e6838e49275b,Firewall Down,String,Firewall Down,String,Network,String,ContosoInc,String,Network,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,8a614a43-78d1-474f-aa2a-a8eae7af278f,Highjump - AS400 Integration,String,Highjump and AS400 integration,String,Camuto Highjump,String,ContosoInc,String,Highjump,Binary,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,8ab0c9c3-78b4-4b71-a11e-0fbfbd20dd65,Request Access to RDS,String,Request Access to RDS,String,Infrastructure Windows,String,ContosoInc,String,RDS,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,8b28262e-b9ce-4409-b4ae-3d65e06f623d,Unable to Access EPM,String,Submit an incident for EPM for issues with Smartview,String,Solution Desk,String,ContosoInc,String,Oracle EPM,String,Incident,Binary
2017db8e-d8c8-4e94-8bde-30bf3121774b,8b65b7a7-b247-4ca5-90a0-a49f16827f2f,Request Access to Onbase,String,Request Access to Onbase,String,Corporate Systems,String,ContosoInc,String,Onbase,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,8bc80ca3-7976-4de3-bed4-311d0a360c31,Request Access to Citrix,String,Request Access to Citrix,String,Solution Desk,String,ContosoInc,String,Citrix,String,Request,String
2017db8e-d8c8-4e94-8bde-30bf3121774b,8c3af108-0ab2-40b1-949b-380ed7ff1400,Convert One Drive and Email accounts for Contractor to FTE,String,File migration - access to Consultant one drive and Consultant email address added as alias to FTE emai,String,Infrastructure Windows,String,ContosoInc,String,Onboarding,String,Request,String
